,datas,vec,vec2
0,2024-01-01,0.46840932961744675,0.45146752175344584
1,2024-01-02,0.049355094597679616,0.04933505948358556
2,2024-01-03,0.8461492645110946,0.7487334208515432
3,2024-01-04,0.5346937718808765,0.5095775770831894
4,2024-01-05,0.029409094605943542,0.02940485549354423
5,2024-01-06,0.8788966282691534,0.7700353953208774
6,2024-01-07,0.370180060478012,0.36178330140946113
7,2024-01-08,0.8654209902637521,0.7613682673511609
8,2024-01-09,0.39490260865873983,0.38471829511003836
9,2024-01-10,0.3466427089515386,0.33974213331205916
10,2024-01-11,0.5630245928947277,0.5337463661156047
11,2024-01-12,0.8662681539325888,0.7619172269223313
12,2024-01-13,0.6342215961229508,0.5925506637824054
13,2024-01-14,0.21986134488222275,0.2180943078077688
14,2024-01-15,0.18952371313445593,0.18839115785384689
15,2024-01-16,0.9295405716180782,0.8013451943935616
16,2024-01-17,0.4358481748451549,0.4221794340506937
17,2024-01-18,0.7253778708667418,0.6634182314385948
18,2024-01-19,0.5538047492325335,0.5259270798896929
19,2024-01-20,0.5286710708274549,0.5043862856568503
20,2024-01-21,0.5565478330510147,0.5282581724476765
21,2024-01-22,0.8383275703881676,0.7435257945055962
22,2024-01-23,0.9388799304665925,0.8068969903819556
23,2024-01-24,0.7975036997336581,0.7156146684552471
24,2024-01-25,0.7780361468776498,0.7018819341513334
25,2024-01-26,0.671843960078433,0.622430266343495
26,2024-01-27,0.09282452143762321,0.09269127678106942
27,2024-01-28,0.8726556218646285,0.7660386553430946
28,2024-01-29,0.4714295448801249,0.45416035906783025
29,2024-01-30,0.7088978708500198,0.6509975625734766
30,2024-01-31,0.2516138736661362,0.2489673386252662
31,2024-02-01,0.9799533204754565,0.830471368039519
32,2024-02-02,0.696700424720929,0.6416905305841264
33,2024-02-03,0.5798167642296229,0.5478706577146353
34,2024-02-04,0.6622678419992697,0.6149068513371949
35,2024-02-05,0.4634077415943184,0.4469990387058941
36,2024-02-06,0.09835486418412365,0.09819636529782573
37,2024-02-07,0.06634286156383473,0.06629420563423222
38,2024-02-08,0.5427304786491371,0.5164760274119158
39,2024-02-09,0.5147608457663692,0.4923267007638539
40,2024-02-10,0.7880532980104907,0.7089817502125058
41,2024-02-11,0.8408031274912107,0.7451789375055071
42,2024-02-12,0.14946647744138686,0.148910579554736
43,2024-02-13,0.1195182518385407,0.11923390968093442
44,2024-02-14,0.6096555351634073,0.5725850861984471
45,2024-02-15,0.423154012616466,0.41063831416537094
46,2024-02-16,0.20311329652355015,0.20171960092371094
47,2024-02-17,0.15015426996546732,0.1495906683747868
48,2024-02-18,0.6682787369833671,0.619635904545885
49,2024-02-19,0.08009547582142673,0.08000986406650042
50,2024-02-20,0.7796765454921852,0.7030494342263459
51,2024-02-21,0.374757722333497,0.3660470771231349
52,2024-02-22,0.7558688186511509,0.6859211458340344
53,2024-02-23,0.3976505972980622,0.38725332637704146
54,2024-02-24,0.9959414296338123,0.8392712055578793
55,2024-02-25,0.8740028368910162,0.7669039423246474
56,2024-02-26,0.30371343644069226,0.2990657422880068
57,2024-02-27,0.9424401467770448,0.8089948640983378
58,2024-02-28,0.08895545833113772,0.08883818622556974
59,2024-02-29,0.21786028527131773,0.21614098295945294
60,2024-03-01,0.24675129951654595,0.2442549529822006
61,2024-03-02,0.9032665100057903,0.7853532221179499
62,2024-03-03,0.9680926059124593,0.8238059644793972
63,2024-03-04,0.053210764882828276,0.053185658406047234
64,2024-03-05,0.7338125229256777,0.6697057760342165
65,2024-03-06,0.5270459122742471,0.5029823313345392
66,2024-03-07,0.08774063360744389,0.08762809957587647
67,2024-03-08,0.1767920152660254,0.17587250208141578
68,2024-03-09,0.8978034057143153,0.7819595960355189
69,2024-03-10,0.8100374209537292,0.7243129755519726
70,2024-03-11,0.21248735132300645,0.21089195896561327
71,2024-03-12,0.42150110930016427,0.4091306394358299
72,2024-03-13,0.3745435032563992,0.3658477172378688
73,2024-03-14,0.7851794540921809,0.7069521134431292
74,2024-03-15,0.7479771460116952,0.6801572666747625
75,2024-03-16,0.23891327621375114,0.2366469101934894
76,2024-03-17,0.5079756998600407,0.486409551036687
77,2024-03-18,0.13353674694115902,0.13314022803459477
78,2024-03-19,0.5198946362897338,0.49678869843723455
79,2024-03-20,0.15146402723594732,0.15088555959368802
80,2024-03-21,0.5117750705996463,0.4897256600931911
81,2024-03-22,0.7402956169082116,0.6745061859543154
82,2024-03-23,0.4736616722145943,0.45614787280128943
83,2024-03-24,0.42985638157331785,0.41674025389954206
84,2024-03-25,0.9174784140170495,0.7940714646663743
85,2024-03-26,0.673188248775355,0.6234818451322286
86,2024-03-27,0.4591565851385059,0.4431922051610982
87,2024-03-28,0.5835048052103193,0.550952203577372
88,2024-03-29,0.9206800829444332,0.7960134439725693
89,2024-03-30,0.1398969452607034,0.13944106745208668
90,2024-03-31,0.6325954138305733,0.591239937068971
91,2024-04-01,0.9089434444389004,0.788854842660591
92,2024-04-02,0.43135273762182014,0.41810001280504766
93,2024-04-03,0.7838696805509215,0.7060251550292624
94,2024-04-04,0.9899720653435237,0.8360106508115608
95,2024-04-05,0.0885380615064073,0.08842243203138857
96,2024-04-06,0.6061872701560928,0.5697382073568925
97,2024-04-07,0.5457952136125935,0.5190979353803381
98,2024-04-08,0.3573741572276369,0.3498155037155
99,2024-04-09,0.4305341035502811,0.41735622478045675
