,Unnamed: 0,Data,Mes,Dia,atividade,sazonalidade,aleatorio,aleatorioSazonal
0,0,2023-01-01 00:00:00,1,1,152.98722468150595,1.9998518392091162,147.92838064284018,428.38015981449826
1,1,2023-01-01 01:00:00,1,1,178.96232154496397,1.9998518392091162,138.8776362599683,454.3552566779563
2,2,2023-01-01 02:00:00,1,1,125.05745721359936,1.9998518392091162,125.95095775228837,400.4503923465917
3,3,2023-01-01 03:00:00,1,1,104.30673884299836,1.9998518392091162,144.10570619558223,379.69967397599066
4,4,2023-01-01 04:00:00,1,1,167.06596205371196,1.9998518392091162,177.77345828739806,442.45889718670423
5,5,2023-01-01 05:00:00,1,1,150.57712659695557,1.9998518392091162,150.54142520028412,425.9700617299479
6,6,2023-01-01 06:00:00,1,1,119.42541038448768,1.9998518392091162,127.36779667680241,394.81834551748
7,7,2023-01-01 07:00:00,1,1,93.94831097889714,1.9998518392091162,151.33269214775746,369.34124611188946
8,8,2023-01-01 08:00:00,1,1,165.28224889462138,1.9998518392091162,137.1811231826266,440.6751840276137
9,9,2023-01-01 09:00:00,1,1,147.1114485773245,1.9998518392091162,152.99261515632995,422.5043837103168
10,10,2023-01-01 10:00:00,1,1,138.046828360069,1.9998518392091162,108.20974851479681,413.43976349306126
11,11,2023-01-01 11:00:00,1,1,168.207135507192,1.9998518392091162,168.0096706571133,443.6000706401843
12,12,2023-01-01 12:00:00,1,1,162.77830174792035,1.9998518392091162,124.02952874015013,438.17123688091266
13,13,2023-01-01 13:00:00,1,1,142.2021821124652,1.9998518392091162,125.0141779492945,417.5951172454575
14,14,2023-01-01 14:00:00,1,1,147.62686467494515,1.9998518392091162,177.43918409573456,423.0197998079375
15,15,2023-01-01 15:00:00,1,1,159.2940331859228,1.9998518392091162,171.7534401380087,434.6869683189151
16,16,2023-01-01 16:00:00,1,1,99.2784361383114,1.9998518392091162,116.17199628932825,374.6713712713037
17,17,2023-01-01 17:00:00,1,1,181.381545034496,1.9998518392091162,104.01861499581133,456.7744801674883
